"Names","Group","January_Quantity","January_Value","February_Quantity","February_Value","March_Quantity","March_Value","April_Quantity","April_Value","May_Quantity","May_Value","June_Quantity","June_Value","July_Quantity","July_Value","August_Quantity","August_Value","September_Quantity","September_Value","October_Quantity","October_Value","November_Quantity","November_Value","December_Quantity","December_Value","12_months_Quantity","12_months_Value"
"United States","Precious stones, precious metals and their products",0,30715.76,0,10692.27,0,29917.97,0,25649.05,NA,24593.92,NA,20460.26,NA,19312.13,0,19107.39,0,16431.86,0,21905.2,0,21974.07,NA,16989.9,NA,257749.84
"Japan",NA,0,2229674.29,0,1387853.31,0,2072436.18,0,1882874.33,NA,1850698.39,NA,1910680.84,NA,2313686.36,0,2372382.94,0,2001836.66,0,2240736.13,0,2173039.78,NA,2172586.31,NA,24608485.55
"Japan","Fibres, not spun",6625.06,8735.44,2334.69,6468.89,2853.03,8325.13,2883.32,8534.71,2654,7216.73,2698,7320.68,3374,8040.48,2417.87,9126.04,3898.48,8191.64,2757.51,7943.4,3775,8764.43,3720,8312.6,39991,96980.22
"Japan","Pieces of cloth and other technical cloths",0,4120.08,0,3814.32,0,4900.13,0,4215.24,NA,4643.78,NA,4539.31,NA,4978.28,0,6050.08,0,5276.89,0,5639.94,0,4209.77,NA,4680.7,NA,57068.58
"Japan","Bags, pockets, wallets, suitcases, hats and umbrellas",0,42060.55,0,22356.05,0,25603.07,0,25396.79,NA,24496.28,NA,29757.23,NA,35938.71,0,29620.68,0,24723.95,0,30786.18,0,36101.62,NA,43307.19,NA,370148.36
"Japan","Animal fodder and materials",0,2218.58,0,1402.23,0,2367.09,0,2892.44,NA,2685.73,NA,2124.52,NA,2570.52,0,2080.23,0,1773.18,0,1509.14,0,2034.79,NA,1895.39,NA,25553.9
"Japan","Glass and glassware",0,2559.04,0,979.76,0,4915.93,0,3234.35,NA,4563.3,NA,3962.52,NA,4773.12,0,4843.52,0,1408.93,0,1527.42,0,5911.78,NA,1148.95,NA,39828.67
"Japan","Coal",143,46.89,0,0,85,32.14,33176,8629.61,144,39.51,25045,7840.3,188,79.29,61036,13263,61424,13364.46,5501,1357.7,0,0,43096,9715.4,229838,54368.35
"Japan","Articles of rubber",0,16740.2,0,10256.85,0,15408.65,0,13384.91,NA,13646.49,NA,12772.17,NA,12810.61,0,14751.25,0,11788.96,0,15354.48,0,16272.07,NA,14017.12,NA,167203.79
"Japan","Iron, Steel",9923,8870.84,6126,5508.12,11592,9729.87,10940,8585.59,8745,7471.54,8019,7051.42,24990,16461.67,7794,6920.5,10362,8413.48,4158,5003.13,5456,5727.06,4248,4836.19,112353,94579.46
"Japan","Articles of iron and steel",331,171.58,0,0,72,18.71,135,51.02,169,36.4,148,35.1,141,46.12,135,43.14,65,1.43,1175,551.17,106,31.59,916,351.98,3393,1338.29
"Japan","Cassava & products",0,50476.62,0,35952.6,0,55908.35,0,47637.44,NA,52342.81,NA,54901.3,NA,52080.89,0,56370.17,0,47815.37,0,52941.14,0,53561.98,NA,52751.46,NA,612740.17
"Japan","Articles of plastics",0,64834.8,0,45274.79,0,66550.97,0,58902.26,NA,61901.06,NA,58999.03,NA,61431.82,0,63798.94,0,58052.89,0,65715.12,0,65189.5,NA,60316.05,NA,730967.29
"Japan","Rattan, bamboo and rush products",0,5178.3,0,2980.86,0,4621.87,0,5519.56,NA,3620.85,NA,4693.02,NA,4516.86,0,7909.86,0,6409.9,0,6836.85,0,6097.09,NA,3427.05,NA,61812.13
"Japan","Pottery and glasware",0,9187.53,0,6042.7,0,7639.77,0,7355.25,NA,7283.75,NA,7337.57,NA,7051.65,0,7418.61,0,7015.07,0,6774.9,0,7699.29,NA,8407.64,NA,89213.77
"Japan","Ores and other minerals",9894,2225.44,5614,775.48,5652,802.3,22424,2160.67,14652,1085.69,15314,2936.12,13878,850.77,24163,4567.62,8633,568.47,195,51.75,17847,3140.34,4593,622.19,142859,19786.91
"Japan","Means of transport and equipment",0,307313.57,0,183565.16,0,227785.58,0,224722.61,NA,233901.27,NA,240297.21,NA,257451.97,0,278084.93,0,232023.38,0,282905.31,0,276408.54,NA,282021.63,NA,3026481.2
"Japan","Fertilizers",5613,2449.01,3214,1358.41,5062,2299.83,1213,542.98,1512,613.53,877,393.75,1404,590.7,1575,616.08,3093,1284.53,3635,1530.61,1648,719.99,3806,1653.23,32652,14052.69
"Japan","Auxiliary materials for textile, garment, leather, footwear",0,11068.39,0,8527.26,0,12460.08,0,11411.41,NA,10896.78,NA,10606.17,NA,10152.73,0,11877.81,0,12445.5,0,12379.41,0,10370.04,NA,10980.61,NA,133176.24
"Japan","Computers, Electronical products & parts",0,131056.9,0,85694.93,0,113956.32,0,106499.97,NA,113513.31,NA,121665.45,NA,151001.26,0,112155.24,0,114978.85,0,141635.51,0,130098.5,NA,137345.02,NA,1459601.33
"Japan","Other Machinery, instrument, accessory",0,237349.61,0,180735.97,0,230259.19,0,228843.7,NA,203042.99,NA,208019.39,NA,223611.66,0,252270.11,0,266348.02,0,261753.37,0,248059.43,NA,226207.47,NA,2766500.97
"Japan","Cameras and their parts",0,10219.88,0,5414.38,0,13043.06,0,8233.58,NA,10606.5,NA,9458.87,NA,10611.52,0,12631.43,0,9800.6,0,12520.42,0,12978.41,NA,12584.13,NA,128102.83
"Japan","Other base metals and products",0,28688.2,0,22631.9,0,30485.76,0,27372.6,NA,30804.01,NA,27470,NA,29694.93,0,29866.35,0,26037.08,0,27901.98,0,29073.18,NA,30482.57,NA,340508.61
"Japan","Chemicals",0,31671.34,0,27061.95,0,32236.12,0,30017.4,NA,29459.92,NA,31882.28,NA,32040.1,0,36145.64,0,27994.29,0,42997.69,0,34612.98,NA,25865.31,NA,381985.07
"Japan","Pepper",346,1227.95,269,1039.64,341,1270.1,318,1261.19,442,1808.03,303,1242.89,353,1553.25,311,1414.45,349,1794.04,531,3010.56,615,3498.34,419,2371.95,4597,21492.43
"Japan","Cashew nut",1108,6605.15,466,2783.36,800,4869.5,719,4119.29,875,5042.5,827,4953.07,902,6008.95,859,5442.05,770,5025.94,825,5415.5,1122,7617.14,842,5658.66,10115,63541.17
"Japan","Seafood",0,130269.58,0,66632.46,0,124611.93,0,129164.17,NA,129233.32,NA,124254.98,NA,135707.72,0,137754.98,0,133308.61,0,152270.13,0,148178.79,NA,120862.81,NA,1532249.51
"Japan","Fresh and pocessed vegetables and fruit",0,16877.38,0,10162.12,0,17353.64,0,18663.44,NA,16924.77,NA,19002.84,NA,18618.54,0,17894.72,0,16405.64,0,18482.1,0,18377.53,NA,14526.39,NA,203289.15
"Japan","Textile, sewing products",0,386689.71,0,243539.24,0,327687.27,0,320530.49,NA,275820.57,NA,320257.24,NA,422035.46,0,451654.85,0,377138.89,0,424750.25,0,387349.34,NA,391718.32,NA,4329171.66
"Japan","Paper and paper products",0,6298.08,0,4254.96,0,6398.32,0,6087.43,NA,6051.15,NA,5544.38,NA,6423.03,0,7192.03,0,5727.8,0,7628.75,0,7168.44,NA,6794.67,NA,75569.1
"Japan","Footwear",0,116986.59,0,64744.36,0,76191.24,0,80485.67,NA,89614.76,NA,86692.21,NA,96419.89,0,107705.07,0,66960.47,0,85385.89,0,98202.2,NA,118541.03,NA,1087929.43
"Japan","Wood and wooden products",0,162823.14,0,107500.05,0,151894.33,0,127281.52,NA,128618,NA,119657.2,NA,163513.52,0,171145.76,0,123252.64,0,167887.08,0,144135.04,NA,180910.11,NA,1748618.43
"Japan","Crude oil",0,0,0,0,0,0,NA,0,39165,28099.71,NA,0,78821,52455.68,NA,0,32747,14648.56,40788,29823.01,0,0,NA,0,191521,125026.97
"Japan","Electrical wire and cable",0,28364.97,0,19205.53,0,29165.33,0,26542.11,NA,26533.23,NA,27105.35,NA,28800.32,0,32907.05,0,25604.63,0,29713.35,0,29710.7,NA,29011.89,NA,332664.52
"Japan","Plastic materials",10126,10838.79,12252,12902.03,12442,13480.12,10172,11088.42,7923,8574.62,15678,17056.97,13795,14549.43,15222,16452.42,16360,17412.06,14851,16166.86,9364,10356.31,9971,10665.12,148156,159543.2
"Japan","Rubber",881,1469.66,602,1021.77,828,1478.91,490,911.55,604,1152.1,731,1536.77,1091,2211.53,1061,2106.26,930,1892.22,1014,2130.32,1359,3108.61,1225,2761.55,10816,21781.29
"Japan","Coffee",16430,54253.08,6990,27650.75,13961,50003.04,13257,51383.01,6797,29724.77,5809,26346.91,5430,29069.61,7490,41936.75,3837,22240.84,1749,13267.15,2355,16395.61,9797,54817.9,93902,417089.47
"Japan","Chemical products",0,11340.54,0,8215.74,0,12069.04,0,11561.05,NA,10502.57,NA,11666.43,NA,11228.91,0,12369.15,0,11427.19,0,11046.06,0,11195.15,NA,12014.7,NA,134636.57
"Japan","Sweets, cookies and cereal preparations",0,8910.18,0,4301.83,0,8410.01,0,8202.86,NA,7797.37,NA,9454.7,NA,8170.02,0,10407.75,0,9455.49,0,11257.28,0,11776.19,NA,9327.65,NA,107471.38
"Japan","Telephones and their parts",0,105291.22,0,23646.6,0,208041.14,0,170454.78,NA,94599.28,NA,94450.3,NA,198352.74,0,108594.87,0,96403.34,0,86006.97,0,109697.08,NA,82090.17,NA,1377628.54
"Japan","Toys, games and sports requisites; parts and accessories thereof",0,58688.17,0,33795.91,0,36713.95,0,35473.45,NA,45763.76,NA,63225.15,NA,49437.39,0,53653.82,0,46682.93,0,62270.94,0,64215.81,NA,43557.27,NA,593478.58
"Japan","Precious stones, precious metals and their products",0,6455.67,0,5190.36,0,5763.35,0,5601.21,NA,5538.08,NA,4918.59,NA,5195.36,0,6737.34,0,6857.05,0,7399.33,0,7161,NA,6113.16,NA,72930.55
"Korea",NA,0,2340866.3,0,1832139.35,0,2191390.06,0,1921518.92,NA,1972138.46,NA,1985260.54,NA,2250284.6,0,2363233.88,0,2088572.75,0,2288079.28,0,2116043.07,NA,2269654.59,NA,25619181.84
"Korea","Fibres, not spun",14465,41211.35,11172,32987.94,16284,48014.34,13314,40065.66,12535,36558.81,12359,35537.48,12570,34363.42,12554,35287.69,11195,31213.61,12508,35565.05,11696,31487.41,12466,34417.6,153118,436710.41
"Korea","Petroleum oil, refined",24742,22577.69,16852,15118.6,19352,17866.68,22371,20313.63,22371,20155.52,27301,24441.71,21166,18425.56,12186,11226.8,7377,6616.31,21807,17415.33,18606,14220.16,33174,26487.17,247305,214865.23
"Korea","Pieces of cloth and other technical cloths",0,6709.13,0,5242.78,0,6166.26,0,6015.91,NA,6568.14,NA,6896.31,NA,7511.31,0,8203.56,0,6814.58,0,7502.72,0,8969.23,NA,6866.24,NA,83466.23
"Korea","Bags, pockets, wallets, suitcases, hats and umbrellas",0,15567.37,0,9862.43,0,13083.63,0,11889.63,NA,13354.84,NA,14716.67,NA,13732.92,0,12041.85,0,11202.45,0,10063,0,13975.42,NA,13271.83,NA,152762.1
"Korea","Animal fodder and materials",0,2064.64,0,1212.94,0,2842.82,0,2285.22,NA,1222.01,NA,2257.12,NA,1025.81,0,1967.22,0,1570.33,0,1905.9,0,2034,NA,1278.51,NA,21666.56
"Korea","Glass and glassware",0,1302.75,0,680.77,0,813.51,0,1143.63,NA,1572.98,NA,1426.8,NA,1642.26,0,1150.51,0,766.9,0,1084.76,0,1119.32,NA,1134.06,NA,13838.29
"Korea","Coal",0,0,166,40,25,5.93,102,39.01,NA,0,NA,0,11000,2156,3300,651.68,0,0,-1,0,5027,942.1,5500,1023,25119,4857.74
"Korea","Articles of rubber",0,8766.85,0,5009.85,0,10020.36,0,8778.77,NA,8997.41,NA,8079.89,NA,7776.91,0,9430.27,0,7587.99,0,8260.58,0,8139.94,NA,9080.75,NA,99929.6
"Korea","Iron, Steel",41331,39009.18,23258,29115.19,28305,36048.15,31347,35374.13,24392,32189.66,21474,31800.9,22711,32526.69,28642,41448.01,11813,22678.61,42019,36284.16,14039,11573.46,13639,17729.38,302970,365777.58
"Korea","Casava and casava products",42,26.72,0,0.25,1418,495.51,1585,579.38,24222,7205.41,8582,2689.43,405,218.34,435,254.47,326,173.27,422,221.55,709,366.5,412,199.55,38558,12430.4
"Korea","Articles of iron and steel",0,17285.4,0,14272.28,0,22861.54,0,17535.09,NA,23446.55,NA,25807.65,NA,20112.69,0,20736.88,0,14916.63,0,18234.79,0,22083.15,NA,20240.82,NA,237533.52
"Korea","Articles of plastics",0,24537.23,0,20435.66,0,25672.29,0,23783.51,NA,27150.99,NA,26925.88,NA,29403.92,0,27423.46,0,21635.95,0,26488.07,0,24234.88,NA,24172.44,NA,301864.31
"Korea","Rattan, bamboo and rush products",0,1326.62,0,1090.73,0,2148.01,0,1938.37,NA,1787.84,NA,1923.57,NA,1614.76,0,1467.36,0,1213.73,0,1796.68,0,1545.98,NA,1518.55,NA,19372.24
"Korea","Pottery and glasware",0,2361.24,0,2078.79,0,2378.98,0,2795.29,NA,2210.37,NA,2384.79,NA,2113.52,0,2649.82,0,2421.33,0,2565.85,0,2243.49,NA,2245.86,NA,28449.36
"Korea","Ores and other minerals",52282,650.8,0,0,78210,942.93,57048,961.39,52825,833.85,50261,1024.4,NA,0,55860,1073.13,237,392.69,643,951.69,33068,421.3,46128,798.98,426562,8051.21
"Korea","Means of transport and equipment",0,158798.35,0,82796.1,0,168751.08,0,107198.58,NA,170281.06,NA,122420.02,NA,113317.29,0,115345.4,0,160383.66,0,124088.06,0,126783.15,NA,130381.12,NA,1580543.92
"Korea","Fertilizers",47206,19348.75,13514,5852.44,8227,3735.83,14438,5548.52,2122,804.7,10160,4243.44,19030,8150.72,8332,3381.44,23106,8921.13,18199,6862.53,23924,9334.58,31916,12954.81,220174,89138.92
"Korea","Auxiliary materials for textile, garment, leather, footwear",0,9210.96,0,5167.47,0,10686.51,0,7669.54,NA,8658.86,NA,7804.09,NA,8556.47,0,9526.7,0,7644.32,0,8260.63,0,7916.06,NA,8298.79,NA,99400.44
"Korea","Computers, Electronical products & parts",0,539679.25,0,543100.97,0,446894.21,0,332729.06,NA,346291.6,NA,371087.72,NA,410815.84,0,509960.86,0,528605.53,0,505601.61,0,568620.12,NA,622743.63,NA,5726130.46
"Korea","Other Machinery, instrument, accessory",0,277925.58,0,197923.17,0,273559.11,0,253979.13,NA,320770.26,NA,273443.77,NA,328786.08,0,289179.78,0,253249.55,0,302437.69,0,250642.59,NA,240193.25,NA,3262090
"Korea","Cameras and their parts",0,53724.56,0,39076.94,0,40251.22,0,38636.08,NA,42188.75,NA,28526.98,NA,32673.68,0,41465.63,0,33437.62,0,33087.51,0,37594.69,NA,42937.26,NA,463600.98
"Korea","Other base metals and products",0,26948.69,0,21034.95,0,28998.21,0,34545.4,NA,42298.3,NA,34038.56,NA,33941.49,0,30215.01,0,27635.88,0,32130.99,0,29730.05,NA,31336.63,NA,372854.2
"Korea","Chemicals",0,11002.58,0,9251.73,0,13764.16,0,8900.88,NA,12396.93,NA,8577.54,NA,12728.38,0,6799.55,0,7739.36,0,13126.27,0,11738.45,NA,17359.63,NA,133385.52
"Korea","Pepper",790,3221.58,403,1709.11,972,4442.54,535,2598.08,576,2946.59,765,4886.06,512,3702.82,705,4499.74,453,3045.56,382,2789.6,580,3809.18,242,1655.62,6915,39306.53
"Korea","Seafood",0,67826.53,0,36474.54,0,62711.39,0,62851.07,NA,68380.73,NA,64723.94,NA,72415.7,0,75205.09,0,58390.58,0,79802.25,0,82928.27,NA,74953.17,NA,806663.3
"Korea","Fresh and pocessed vegetables and fruit",0,21774.69,0,19242.23,0,33561.01,0,33996.12,NA,28844.25,NA,26990.73,NA,24699.18,0,25780.01,0,24346,0,24833.16,0,25306.56,NA,25605.8,NA,314979.8
