"Names","Group","January_Quantity","January_Value","February_Quantity","February_Value","March_Quantity","March_Value","April_Quantity","April_Value","May_Quantity","May_Value","June_Quantity","June_Value","July_Quantity","July_Value","7_months_Quantity","7_months_Value"
"Australia","Articles of iron and steel",0,21397.36,0,20223.31,0,21135.33,0,17007.74,0,21423.36,0,22854.11,NA,18153.06,NA,142194.29
"Australia","Articles of plastics",0,7723.29,0,6750.45,0,8397.72,0,7426.98,0,8430.91,0,7780.45,NA,8632.48,NA,55142.31
"Australia","Other furniture products (excluding wooden furniture)",0,2504.98,0,1818.54,0,2761.06,0,2867.48,0,3824.79,0,3561.73,NA,5037.82,NA,22376.43
"Australia","Rattan, bamboo and rush products",0,1602.03,0,727.03,0,1181.35,0,1327.96,0,1336.75,0,1360.86,NA,1659.13,NA,9195.13
"Australia","Pottery and glasware",0,1220.85,0,839.07,0,1125.01,0,1661.72,0,1205.15,0,1424.86,NA,1789.37,NA,9266.06
"Australia","Means of transport and equipment",0,5822.06,0,4555.31,0,13796.44,0,6787.16,0,14990.71,0,13947.41,NA,11014.24,NA,70913.35
"Australia","Auxiliary materials for textile, garment, leather, footwear",0,485.89,0,531.53,0,863.69,0,924.54,0,1295.98,0,1702.73,NA,1498.47,NA,7302.86
"Australia","Computers, Electronical products & parts",0,46903.29,0,54373.09,0,62064.35,0,58316.32,0,50549.31,0,49057.47,NA,88851,NA,410114.84
"Australia","Other Machinery, instrument, accessory",0,35080.26,0,34598.33,0,43441.58,0,41332.83,0,37819.56,0,41277.12,NA,49503.17,NA,283052.89
"Australia","Cameras and their parts",0,2175.4,0,2650.55,0,2722.49,0,2101.06,0,2043.52,0,1747.67,NA,2833.85,NA,16274.55
"Australia","Other base metals and products",0,5322.09,0,3703.51,0,6332.8,0,6867.81,0,6183.21,0,4223.65,NA,5178.01,NA,37811.1
"Australia","Pepper",150,1163.2,104,777.94,156,1062.09,111,837.82,71,475.03,135,1051.01,266,1802.32,993,7169.44
