"Names","Group","January_Quantity","January_Value","February_Quantity","February_Value","March_Quantity","March_Value","April_Quantity","April_Value","May_Quantity","May_Value","June_Quantity","June_Value","July_Quantity","July_Value","August_Quantity","August_Value","September_Quantity","September_Value","October_Quantity","October_Value","November_Quantity","November_Value","December_Quantity","December_Value","12_months_Quantity","12_months_Value"
"United States","Electrical wire and cable",0,1434.23,0,2400.47,0,1892.83,0,1605,0,2246.81,0,1671.55,0,2291.9,0,1853.37,0,1408.48,0,2162.89,0,1381.45,0,3201.92,0,23550.96
"United States","Other preparations for foodstuff",0,20815.01,0,23843.38,0,31606.48,0,34212.02,0,26074.04,0,34100.39,0,21518.13,0,20935.29,0,14937.49,0,23907.9,0,18692.81,0,14117.94,0,284760.93
"United States","Plastic materials",33742,52042.52,39870,66214.2,48494,66533.34,35248,49839.41,46220,71120.5,37193,59025.37,36384,45881.97,43516,59010.5,43817,56771.5,48472,63918.35,55950,77611.64,41899,49104.34,510805,717073.67
"United States","Aromatic substance, cosmetic and cleaning preparations",0,4313.4,0,6673.63,0,10349.72,0,7194.02,0,11176.64,0,8660.43,0,7007.04,0,8526.37,0,6936.03,0,7578.73,0,6132.47,0,6224.64,0,90773.16
"United States","Rubber",771,2488.48,1009,2838.23,1172,2866.51,568,1534.77,1364,3216.43,606,1913.38,897,2344.94,904,2302.46,1803,3895.49,2505,5020.26,1955,4012.03,2309,4449.55,15863,36882.57
"United States","Cotton",6411,15287.86,13937,34232.86,33766,77627.65,71161,162223.71,92277,202944.35,70163,148453.54,50682,106347.66,27816,55159.94,12760,29794.66,10854,24752.67,12725,26058.78,13953,29394.73,416505,912278.47
"United States","Sweets, cookies and cereal preparations",0,1230.11,0,966.6,0,329.28,0,1276.61,0,1920.56,0,532.4,0,317.67,0,2522.12,0,630.42,0,1056.72,0,887.78,0,659.39,0,12329.72
"United States","Telephones and their parts",0,0,0,929.37,0,39.99,0,36.45,0,0,0,1975.49,0,6307.99,0,382.4,0,0,0,31.67,0,91.58,0,45.88,0,9840.85
"United States","Soybeans",56564,37494.31,154190,112133.03,119120,80806.05,58473,39215.98,55684,35812.59,23466,15087.15,14435,9336.37,16415,10843.54,23013,15068.57,30924,20161.95,25554,15964.13,99911,58800.02,677749,450723.74
"United States","Precious stones, precious metals and their products",0,2573.76,0,2615,0,2603.15,0,1976.51,0,2331.46,0,2179.69,0,2413.41,0,2382.74,0,2339.67,0,2981.73,0,1692.73,0,2123.17,0,28213.06
"United States","Motor vehicles, assembled",432,28456.85,80,2926.39,237,17141.18,432,24298.78,164,8739.63,333,17851.65,308,15809.8,61,3022.84,133,5860.16,35,2628.62,69,4617.96,145,4514.71,2429,135868.62
"Korea",NA,0,3908638.26,0,3815356.49,0,4569989.24,0,3760875.7,0,4064147.15,0,4126408.5,0,4179742.47,0,4936770.98,0,4863994.69,0,4775420.86,0,4701320.45,0,4808665.92,0,52511330.76
"Korea","Fibres, not spun",3088,8843.12,3150,8649.27,4013,10548.16,3045,8759.16,3589,11990.39,8079,20209.52,3531,8804.54,3202,7146.7,2915,8586.15,3826,9304.54,3565,8875.19,3470,9012.07,45473,120728.87
"Korea","Petroleum oil, refined",368786,328343.86,341844,305259.79,334237,267638.86,214278,167009.9,415859,289484.42,396450,280908.47,390729,292837.94,482652,437861.97,355309,331749.61,229691,210663.81,164468,133430.52,225784,174730.36,3920087,3219919.55
"Korea","Textile fibrics",0,117847.34,0,120121.65,0,132116.91,0,122935.16,0,145928.05,0,144932.8,0,119475.73,0,103358.44,0,111312.28,0,133013.92,0,129758.22,0,149188.4,0,1529988.95
"Korea","Insecticides and materials",0,2483.32,0,1168.14,0,4573.91,0,3763.73,0,1085.73,0,7951.77,0,5285.29,0,4968.92,0,3479.26,0,859.91,0,1442.22,0,518.08,0,37580.34
"Korea","Animal fodder and materials",0,4195.22,0,5377.79,0,4616.79,0,5283.81,0,6443.64,0,6478.01,0,6498.92,0,5296.89,0,6787.75,0,6756.61,0,8130.92,0,4982.48,0,70848.87
"Korea","Glass and glassware",0,9253.13,0,8417.3,0,8294.25,0,9633.41,0,8131.53,0,4889.66,0,6892.53,0,7248.13,0,9505.92,0,8271.65,0,8783.38,0,8817.32,0,98138.26
"Korea","Iron, Steel",50520,54106.9,80500,73944.64,115354,117245.67,94716,102666.52,67640,78400.69,101156,109943.49,89307,86380.01,103847,101205.93,98805,92105.54,112055,102344.82,97071,94250.57,96983,91261.95,1107954,1103856.78
