"Names","Group","January_Quantity","January_Value","February_Quantity","February_Value","March_Quantity","March_Value","April_Quantity","April_Value","May_Quantity","May_Value","June_Quantity","June_Value","July_Quantity","July_Value","7_months_Quantity","7_months_Value"
"Korea","Sweets, cookies and cereal preparations",0,4143.52,0,4126.57,0,5111.41,0,3928.67,0,4301.42,0,4168.28,NA,4913.28,NA,30693.18
"Korea","Telephones and their parts",0,32030.66,0,32449.19,0,24127.01,0,19107.74,0,28226.66,0,36692.54,NA,52826.65,NA,225460.48
"Korea","Precious stones, precious metals and their products",0,9570.55,0,10703.97,0,10812.65,0,9913.1,0,10247.32,0,8862.26,NA,10378.78,NA,70488.65
"Korea","Motor vehicles, assembled",15,509.69,0,0,14,445.38,1,29.2,60,3933.72,46,2168.88,109,4820.19,245,11907.08
"Japan",NA,0,1667404.51,0,2072915.56,0,2052364.13,0,1995675.84,0,1893839.59,0,1914073.57,NA,2178513.99,NA,13774787.21
"Japan","Fibres, not spun",364,2820.27,610,6622.06,748,6231.87,461,4114.69,622,5926.09,410,3539.39,602,5627.49,3817,34881.88
"Japan","Textile fibrics",0,41212.31,0,60855.24,0,61569.8,0,60424.57,0,68183.49,0,65390.23,NA,59928.35,NA,417564.02
"Japan","Insecticides and materials",0,1077.38,0,3287.9,0,4286.32,0,6601.51,0,2410.85,0,3284.35,NA,3366.66,NA,24314.98
"Japan","Animal fodder and materials",0,260.31,0,390.38,0,341.38,0,99.13,0,498.27,0,251.88,NA,235.58,NA,2076.96
"Japan","Glass and glassware",0,4676.49,0,6127.57,0,6820.11,0,5066.48,0,6412.79,0,3465.43,NA,6201.65,NA,38770.54
"Japan","Coal",0,0,5,3.87,28,28.24,5,3.85,6,4.57,6,4.46,NA,0,50,45.01
"Japan","Iron, Steel",154104,101783.49,226837,147760.17,189288,123157.18,266314,156944.51,195327,124393.22,175469,120277.93,156281,106574.69,1363620,880891.22
"Japan","Articles of iron and steel",0,23548.85,0,39657.81,0,36730.8,0,33700.88,0,34449.74,0,43492.29,NA,43039.42,NA,254619.82
"Japan","Other base metal products",0,7289.42,0,9405.89,0,9069.03,0,10892.56,0,9247.7,0,11000.67,NA,13706.51,NA,70611.81
"Japan","Paper products",0,2761.45,0,4646.05,0,4094.13,0,3794.38,0,3966.29,0,4494.12,NA,4326.51,NA,28082.96
"Japan","Articles of plastics",0,54293.12,0,74539.67,0,73674.33,0,77348.26,0,72755.64,0,82518.39,NA,83770.7,NA,518900.14
"Japan","Articles of rubber",0,8300.36,0,10831.81,0,12380.8,0,11058.22,0,11543.81,0,11740.74,NA,12293.35,NA,78149.11
"Japan","Other petroleum products",0,2274.14,0,2698.98,0,2539.7,0,2375.75,0,2643.47,0,3389.12,NA,3715.78,NA,19636.96
"Japan","Chemical products",0,37562.81,0,50894.44,0,58524.45,0,59868.27,0,54202.53,0,51881.73,NA,60155.57,NA,373089.84
"Japan","Dairy products",0,2759.29,0,2892.44,0,4226.23,0,3494.43,0,3015.33,0,4107.42,NA,3614.51,NA,24109.68
"Japan","Ores and other minerals",885,354.43,1606,1629.51,959,831.54,1034,862.25,652,493.02,833,961.37,1168,1059.09,7137,6191.23
"Japan","Waste iron and steel",146164,50689.81,364063,122748.34,274516,90429.03,335152,114182.66,294444,101845.49,256325,87368.09,220886,75134.02,1891550,642397.46
"Japan","Other means of transort and equipments",0,1551.06,0,7636.75,0,2245.29,0,3908.07,0,2577.48,0,4360.54,NA,2532.11,NA,24811.33
"Japan","Fertilizers",21897,1516.57,36145,3373.08,26207,2129.95,34890,3389.05,28707,3124.46,56632,5926.16,33953,2659.93,238431,22119.22
"Japan","Auxiliary materials for textile, garment, leather, footwear",0,16032.95,0,24961.36,0,27153.94,0,21705.73,0,25544.89,0,24441.55,NA,23218.85,NA,163059.3
"Japan","Computers, electronical products and parts",0,679818.69,0,691342.8,0,623836.03,0,561932.08,0,549316.94,0,584093.09,NA,798319.56,NA,4488659.22
"Japan","Other Machinery, instrument, accessory",0,346028.9,0,396441.5,0,486381.37,0,443123.84,0,388431.22,0,389029.18,NA,410916.07,NA,2860352.1
"Japan","Cameras and their parts",0,4675.99,0,8678.22,0,6845.01,0,7981.01,0,5492.92,0,6315.42,NA,6275.62,NA,46264.22
"Japan","Parts and accessories for motor",0,32864.11,0,58865.52,0,49745.52,0,55248.86,0,57212.14,0,60718.21,NA,67294.77,NA,381949.16
"Japan","Other base metals",3383,28692.55,3922,35848.78,5048,42455.12,3877,36228.31,4424,39752.02,3523,36434.62,4419,35617.98,28596,255029.4
"Japan","Chemicals",0,32743.48,0,49984.56,0,43130.64,0,45134.55,0,34930.57,0,38066.98,NA,44421.56,NA,288412.37
"Japan","Fishery products",0,15648.14,0,17110.63,0,21848.69,0,19831.32,0,23150.79,0,25032.99,NA,31370.21,NA,153992.8
"Japan","Domestic electrical appliances and parts",0,2316.51,0,1137.82,0,2154.04,0,1682.21,0,3006.51,0,3114.73,NA,2337.87,NA,15749.71
